Serial,Balance_Date,Customer_Code,CC1	_Code,CC2_Code,CC3_Code,CC4_Code,Debit_Amount,Credit_Amount,Debit_AmountFC,Credit_AmountFC,
1,01/12/2020,10217,,,,,20000,0,0,0,0
2,01/12/2020,10222,,,,,125500,0,0,0,0
