Code,EngName,ArbName,Ledger Types,AllowAccountEntry,CatCode,CatEngName,CatArbName,Level,,Level = 1,Level = 2,Level = 3,Level = 4,Level = 5
402020000000,تكلفة البضاعة المباعة,تكلفة البضاعة المباعة,,0,1234,ارباح الفترة,ارباح الفترة,3,,,,,,
402020010000,تكلفة البضاعة المباعة ,تكلفة البضاعة المباعة ,4,0,1234,ارباح الفترة,ارباح الفترة,4,,,,,,
402020010010,تكاليف الزي الرياضي,تكاليف الزي الرياضي,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402020010020,تكاليف الزي المدرسي,تكاليف الزي المدرسي,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402020010030,تكاليف الكتب,تكاليف الكتب,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402020010040,تكاليف دورات المعلمين,تكاليف دورات المعلمين,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402020010050,تكاليف نادي الكراتيه,تكاليف نادي الكراتيه,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402020010060,تكاليف التقوية,تكاليف التقوية,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402020010070,تكاليف دورة اي سي دي ال icdl,تكاليف دورة اي سي دي ال icdl,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402020010080,تكاليف دورة لغة انجليزية,تكاليف دورة لغة انجليزية,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402020010090,تكاليف العلاج للطلاب,تكاليف العلاج للطلاب,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402020010100,تكاليف التغذية للطلاب,تكاليف التغذية للطلاب,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402020010110,تكاليف نادي السباحة,تكاليف نادي السباحة,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402020010120,تكاليف الدورة الانجليزية  معهد بارلتز,تكاليف الدورة الانجليزية  معهد بارلتز,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402020010130,تكاليف النادي الكمبيوتر,تكاليف النادي الكمبيوتر,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030000000,مصروفات عمومية وإدارية     - اخرى,مصروفات عمومية وإدارية     - اخرى,,0,1234,ارباح الفترة,ارباح الفترة,3,,,,,,
402030010000,عقود تشغيل وصيانة     ,عقود تشغيل وصيانة     ,4,0,1234,ارباح الفترة,ارباح الفترة,4,,,,,,
402030010010,عقد نظافة      ,عقد نظافة      ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030010020,عقد مكافحة حشرات     ,عقد مكافحة حشرات     ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030010050,عقد خدمات أمنية     ,عقد خدمات أمنية     ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030010060,عقد صيانة مصاعد     ,عقد صيانة مصاعد     ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030010070,عقد صيانة مكيفات     ,عقد صيانة مكيفات     ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030010080,عقد صيانة مولدات كهربائية    ,عقد صيانة مولدات كهربائية    ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030010090,عقد صيانة أجهزة حاسب آلي    ,عقد صيانة أجهزة حاسب آلي    ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030010100,عقد صيانة معدات مكتبية    ,عقد صيانة معدات مكتبية    ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030010110,عقد صيانة مباني     ,عقد صيانة مباني     ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030010120,مصروفات صيانة,مصروفات صيانة,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030010130,عقد تطوير برامج حاسب آلي,عقد تطوير برامج حاسب آلي,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030010140,عقد صيانة كاميرات مراقبة,عقد صيانة كاميرات مراقبة,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030010150,عقد نظام اطفاء الحريق,عقد نظام اطفاء الحريق,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030010160,عقد صيانة السنترال,عقد صيانة السنترال,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030010170,خدمات استشارية,خدمات استشارية,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030020000,اصلاح وصيانة ونظافة    ,اصلاح وصيانة ونظافة    ,4,0,1234,ارباح الفترة,ارباح الفترة,4,,,,,,
402030020010,صيانة تجهيزات كفتريا     ,صيانة تجهيزات كفتريا     ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030020020,قطع غيار اجهزه كفتريا    ,قطع غيار اجهزه كفتريا    ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030020030,مصروفات صيانة حاسب آلي    ,مصروفات صيانة حاسب آلي    ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030020040,صيانة معدات مكتبية     ,صيانة معدات مكتبية     ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030020050,اصلاح وصيانة متنوعة    ,اصلاح وصيانة متنوعة    ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030020060,مصروفات صيانة مبانى    ,مصروفات صيانة مبانى    ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030020070,مصروفات صيانة اثاث     ,مصروفات صيانة اثاث     ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030020080,مصروفات تركيبات وديكور,مصروفات تركيبات وديكور,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030030000,مصروفات سيارت     ,مصروفات سيارت     ,4,0,1234,ارباح الفترة,ارباح الفترة,4,,,,,,
402030030010,مصروفات سيارات - صيانة    ,مصروفات سيارات - صيانة    ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030030020,مصروفات سيارت - قطع غيار    ,مصروفات سيارت - قطع غيار    ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030030030,مصروفات سيارات - محروقات     ,مصروفات سيارات - محروقات     ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030030040,مصروفات سيارات - زيوت وتشحيم وغسيل     ,مصروفات سيارات - زيوت وتشحيم وغسيل     ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030030050,مصروفات سيارات - رخص واستمارات     ,مصروفات سيارات - رخص واستمارات     ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030030060,مصروفات سيارات - اخرى    ,مصروفات سيارات - اخرى    ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030030070,مصروفات ايجارسيارات,مصروفات ايجارسيارات,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030040000,مصروفات تأمين     ,مصروفات تأمين     ,4,0,1234,ارباح الفترة,ارباح الفترة,4,,,,,,
402030040010,تأمين سيارات وحوادث    ,تأمين سيارات وحوادث    ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030040020,تأمين حريق      ,تأمين حريق      ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030040030,تأمين  وبضائع     ,تأمين  وبضائع     ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030040040,تأمين سرقة ونقل أموال وخيانة أمانة   ,تأمين سرقة ونقل أموال وخيانة أمانة   ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030040050,تأمين على الممتلكات     ,تأمين على الممتلكات     ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
